"","x"
"Doc01.txt",1
"Doc02.txt",1
"Doc03.txt",1
"Doc04.txt",1
"Doc05.txt",1
"Doc06.txt",1
"Doc07.txt",1
"Doc08.txt",2
"Doc09.txt",2
"Doc10.txt",1
"Doc11.txt",2
"Doc12.txt",1
"Doc13.txt",1
"Doc14.txt",1
"Doc15.txt",1
"Doc16.txt",1
"Doc17.txt",1
"Doc18.txt",1
"Doc19.txt",2
"Doc20.txt",2
"Doc21.txt",2
"Doc22.txt",2
"Doc23.txt",1
"Doc24.txt",1
"Doc25.txt",1
"Doc26.txt",1
"Doc27.txt",1
"Doc28.txt",1
"Doc29.txt",2
"Doc30.txt",2
"Doc31.txt",1
"Doc32.txt",1
"Doc33.txt",1
"Doc34.txt",1
"Doc35.txt",2
"Doc36.txt",1
"Doc37.txt",1
"Doc38.txt",1
"Doc39.txt",2
"Doc40.txt",2
"Doc41.txt",2
